ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chokurdakh,70.63,147.92,34.05,80,99,1.7,RU,1601606431
1,Torbay,47.67,-52.73,61.0,93,90,11.41,CA,1601606431
2,Qaanaaq,77.48,-69.36,16.56,81,97,4.88,GL,1601606432
3,Bredasdorp,-34.53,20.04,57.2,58,83,20.8,ZA,1601606432
4,Arraial do Cabo,-22.97,-42.03,73.81,87,0,24.2,BR,1601606432
5,Pisco,-13.7,-76.22,62.6,82,4,18.34,PE,1601606433
6,Vaini,-21.2,-175.2,73.4,94,75,10.29,TO,1601606433
7,Mataura,-46.19,168.86,57.0,59,100,7.0,NZ,1601606433
8,East London,-33.02,27.91,58.82,73,100,17.92,ZA,1601606434
9,Burnie,-41.07,145.92,64.0,51,66,13.0,AU,1601606434
10,Kapaa,22.08,-159.32,84.2,66,1,8.05,US,1601606434
11,Lüderitz,-26.65,15.16,51.53,75,2,6.06,NA,1601606435
12,Hermanus,-34.42,19.23,55.99,78,64,5.99,ZA,1601606435
13,Aklavik,68.22,-135.01,42.8,81,75,4.7,CA,1601606435
14,Codrington,-38.27,141.97,72.82,64,0,13.02,AU,1601606435
15,Cidreira,-30.18,-50.21,68.07,85,42,8.12,BR,1601606436
16,Marawi,8.0,124.29,82.99,82,77,4.0,PH,1601606436
17,Esperance,-33.87,121.9,68.0,64,26,12.75,AU,1601606436
18,Motomachi,43.82,144.1,63.0,59,75,5.82,JP,1601606436
19,Punta Arenas,-53.15,-70.92,30.2,63,0,11.41,CL,1601606329
20,Avarua,-21.21,-159.78,78.8,83,0,16.11,CK,1601606437
21,Ushuaia,-54.8,-68.3,30.2,92,75,18.34,AR,1601606390
22,Albany,42.6,-73.97,55.0,64,28,2.82,US,1601606388
23,Morris,40.83,-74.53,62.01,87,81,4.43,US,1601606188
24,Butaritari,3.07,172.79,81.28,73,0,14.83,KI,1601606437
25,Rikitea,-23.12,-134.97,73.29,79,0,17.92,PF,1601606438
26,Saint-Philippe,-21.36,55.77,68.0,64,2,4.7,RE,1601606438
27,Yellowknife,62.46,-114.35,42.8,81,75,9.17,CA,1601606438
28,Saldanha,-33.01,17.94,56.39,69,99,24.56,ZA,1601606438
29,Nanortalik,60.14,-45.24,38.21,84,100,17.47,GL,1601606439
30,Carutapera,-1.2,-46.02,77.07,85,64,7.72,BR,1601606439
31,Brasiléia,-11.02,-68.75,77.52,66,10,1.92,BR,1601606439
32,Saskylakh,71.92,114.08,27.64,90,100,21.07,RU,1601606440
33,Cape Town,-33.93,18.42,57.99,58,40,17.22,ZA,1601606152
34,Busselton,-33.65,115.33,61.0,52,41,16.17,AU,1601606284
35,Fortuna,40.6,-124.16,60.01,100,1,3.98,US,1601606440
36,Takoradze,4.88,-1.76,74.8,89,55,7.09,GH,1601606440
37,Sitka,57.05,-135.33,55.4,82,1,4.65,US,1601606440
38,Sakakah,29.97,40.21,73.4,20,0,6.93,SA,1601606441
39,Talnakh,69.49,88.4,35.6,100,90,6.71,RU,1601606441
40,Bambanglipuro,-7.95,110.28,87.24,61,44,11.95,ID,1601606441
41,Ancud,-41.87,-73.82,37.99,80,31,5.82,CL,1601606442
42,Olafsvik,64.89,-23.71,43.21,70,39,13.69,IS,1601606442
43,Ninh Binh,20.25,105.97,86.86,70,95,6.35,VN,1601606442
44,Adrar,20.5,-10.07,88.59,19,0,17.05,MR,1601606443
45,Ribeira Grande,38.52,-28.7,68.04,84,89,15.86,PT,1601606443
46,Richards Bay,-28.78,32.04,63.05,79,83,8.41,ZA,1601606443
47,Lorengau,-2.02,147.27,81.21,80,100,6.38,PG,1601606443
48,Salinópolis,-0.61,-47.36,78.26,84,99,8.79,BR,1601606444
49,Bengkulu,-3.8,102.27,78.13,88,99,11.95,ID,1601606444
50,Fuyang,32.9,115.82,73.87,73,100,6.58,CN,1601606444
51,Sorong,-0.88,131.25,85.35,69,83,2.68,ID,1601606445
52,Baoro,5.67,15.97,65.37,95,76,1.97,CF,1601606445
53,Guilin,25.28,110.29,78.8,78,75,2.24,CN,1601606445
54,Barrow,71.29,-156.79,33.8,86,90,17.22,US,1601606445
55,Flinders,-34.58,150.86,75.99,41,0,4.0,AU,1601606446
56,Arrondissement de Beaune,47.08,4.75,52.0,100,100,6.13,FR,1601606446
57,Oranjemund,-28.55,16.43,54.14,84,0,12.59,NA,1601606446
58,Atuona,-9.8,-139.03,78.66,76,4,22.32,PF,1601606446
59,Nikolskoye,59.7,30.79,44.01,93,62,8.95,RU,1601606446
60,Tommot,58.96,126.29,38.55,76,98,7.78,RU,1601606447
61,San Quintín,30.48,-115.95,78.84,43,0,8.57,MX,1601606447
62,Chui,-33.7,-53.46,54.68,79,0,9.69,UY,1601606447
63,Port Macquarie,-31.43,152.92,79.0,51,5,1.99,AU,1601606447
64,Kapoeta,4.77,33.59,72.73,79,0,2.53,SS,1601606448
65,Great Yarmouth,52.61,1.73,55.0,87,84,5.82,GB,1601606448
66,Abū Zabad,12.35,29.25,75.49,70,0,6.02,SD,1601606448
67,Neiafu,-18.65,-173.98,82.4,78,75,5.82,TO,1601606448
68,Kokologo,12.19,-1.89,71.64,93,58,6.49,BF,1601606449
69,New Norfolk,-42.78,147.06,68.0,50,28,7.0,AU,1601606449
70,Zemio,5.03,25.14,68.59,96,98,1.68,CF,1601606449
71,Ko Samui,9.54,99.94,86.0,66,20,3.36,TH,1601606343
72,Arroyos y Esteros,-25.07,-57.1,93.2,32,0,11.41,PY,1601606450
73,Ayagoz,47.97,80.44,39.09,72,0,16.04,KZ,1601606450
74,Manono,-7.3,27.42,69.55,89,20,2.55,CD,1601606450
75,Kaitangata,-46.28,169.85,55.0,62,89,5.99,NZ,1601606450
76,Thompson,55.74,-97.86,30.2,92,75,2.17,CA,1601606451
77,Cayenne,4.93,-52.33,75.2,94,26,3.36,GF,1601606451
78,Songea,-10.68,35.65,61.36,93,88,5.17,TZ,1601606451
79,Samarai,-10.62,150.67,78.85,85,95,22.17,PG,1601606451
80,Alta Floresta,-9.88,-56.09,69.26,93,88,2.44,BR,1601606357
81,Jamestown,42.1,-79.24,46.99,87,75,6.93,US,1601606452
82,Mar del Plata,-38.0,-57.56,48.2,66,75,12.75,AR,1601606329
83,Magadan,59.57,150.8,49.19,59,0,5.37,RU,1601606452
84,Mersing,2.43,103.84,82.4,83,40,4.7,MY,1601606452
85,Hobart,-42.88,147.33,68.0,34,40,21.92,AU,1601606280
86,Vila Franca do Campo,37.72,-25.43,68.0,77,75,8.05,PT,1601606453
87,Hobyo,5.35,48.53,76.91,87,13,16.22,SO,1601606453
88,Muros,42.78,-9.06,62.01,80,100,7.0,ES,1601606453
89,Mahébourg,-20.41,57.7,64.4,93,20,8.05,MU,1601606453
90,Tasiilaq,65.61,-37.64,32.0,98,100,33.33,GL,1601606453
91,Kavaratti,10.57,72.64,81.55,72,65,9.66,IN,1601606454
92,Hamilton,39.18,-84.53,53.6,54,40,6.93,US,1601606454
93,Saint Paul Harbor,57.79,-152.41,51.8,81,90,27.51,US,1601606285
94,La Reforma,18.1,-91.02,74.08,96,100,8.12,MX,1601606454
95,Norman Wells,65.28,-126.83,44.6,87,75,3.36,CA,1601606454
96,Makkah al Mukarramah,21.43,39.83,78.26,61,0,2.01,SA,1601606455
97,Castro,-24.79,-50.01,71.19,49,0,1.5,BR,1601606455
98,Barra Patuca,15.8,-84.28,78.44,88,98,9.75,HN,1601606455
99,Kirakira,-10.45,161.92,84.13,67,21,7.38,SB,1601606456
100,Puerto Escondido,15.85,-97.07,77.0,73,90,12.75,MX,1601606456
101,Hilo,19.73,-155.09,84.2,70,75,5.82,US,1601606456
102,Raudeberg,61.99,5.14,57.99,58,25,15.01,NO,1601606456
103,Ponta do Sol,32.67,-17.1,69.8,68,75,2.24,PT,1601606457
104,Harper,4.38,-7.72,76.44,88,92,9.24,LR,1601606457
105,Nyurba,63.28,118.33,36.75,72,19,8.28,RU,1601606457
106,Tuktoyaktuk,69.45,-133.04,41.0,93,90,12.75,CA,1601606458
107,Bastrop,32.76,-91.87,62.6,87,1,4.97,US,1601606458
108,Constantine,36.37,6.61,55.4,87,0,2.24,DZ,1601606458
109,Huarmey,-10.07,-78.15,61.9,85,38,9.53,PE,1601606458
110,Marin,38.07,-122.73,77.0,50,1,5.77,US,1601606458
111,Victor Harbor,-35.57,138.62,84.99,23,0,24.16,AU,1601606459
112,Sulangan,11.14,123.72,84.18,71,40,6.51,PH,1601606459
113,Lebu,-37.62,-73.65,45.54,83,1,6.82,CL,1601606459
114,Polessk,54.86,21.1,54.0,87,6,11.18,RU,1601606459
115,Carnarvon,-24.87,113.63,71.6,64,53,13.87,AU,1601606402
116,Provideniya,64.38,-173.3,39.2,93,90,15.66,RU,1601606460
117,Cabo San Lucas,22.89,-109.91,87.8,78,5,11.41,MX,1601606361
118,Geraldton,-28.77,114.6,69.8,56,75,5.82,AU,1601606270
119,Sjenica,43.27,20.0,42.3,90,1,4.18,RS,1601606460
120,Hong Kong,22.29,114.16,82.99,75,37,5.99,HK,1601606196
121,Cardoso,-20.08,-49.91,85.12,23,92,8.97,BR,1601606460
122,Bathsheba,13.22,-59.52,82.4,74,75,16.11,BB,1601606460
123,Pucallpa,-8.38,-74.55,72.37,75,85,1.74,PE,1601606461
124,Leningradskiy,69.38,178.42,35.62,95,100,20.02,RU,1601606461
125,Metro,-5.11,105.31,88.59,56,34,7.29,ID,1601606461
126,Manali,13.17,80.27,80.6,83,20,6.93,IN,1601606462
127,Medvezh'yegorsk,62.92,34.47,43.16,92,0,3.47,RU,1601606462
128,Pevek,69.7,170.31,36.39,79,100,14.47,RU,1601606462
129,Tazovsky,67.47,78.7,42.96,91,100,11.63,RU,1601606463
130,Portland,45.52,-122.68,70.0,68,75,4.7,US,1601606357
131,Philadelphia,39.95,-75.16,64.4,72,90,4.68,US,1601606353
132,Iralaya,15.0,-83.23,79.25,81,100,3.83,HN,1601606463
133,Katsuura,35.13,140.3,79.0,73,20,5.82,JP,1601606463
134,Mackay,-21.15,149.2,84.99,61,97,16.11,AU,1601606464
135,Ust'-Ilimsk,58.0,102.66,34.97,86,90,3.8,RU,1601606464
136,Turukhansk,65.82,87.98,38.71,97,100,14.97,RU,1601606464
137,Zhuhai,22.28,113.57,88.0,74,20,12.75,CN,1601606464
138,Port Alfred,-33.59,26.89,57.9,72,100,22.26,ZA,1601606465
139,Yar-Sale,66.83,70.83,44.51,84,94,11.32,RU,1601606465
140,Biltine,14.53,20.92,82.54,54,73,4.79,TD,1601606465
141,Cerrito,6.84,-72.69,49.78,83,93,3.51,CO,1601606282
142,Krasnoarmeysk,51.02,45.7,52.0,57,35,1.99,RU,1601606466
143,Aksay,47.26,39.87,60.8,48,20,22.37,RU,1601606466
144,Ayr,55.46,-4.63,37.4,93,20,2.55,GB,1601606466
145,Erfurt,50.98,11.03,50.0,87,67,5.82,DE,1601606466
146,Naze,28.37,129.48,86.0,66,20,14.99,JP,1601606466
147,Kahului,20.89,-156.47,84.2,74,90,13.87,US,1601606365
148,George Town,5.41,100.34,80.6,88,20,5.82,MY,1601606467
149,Puerto Ayora,-0.74,-90.35,68.0,87,65,5.01,EC,1601606467
150,Karoi,-16.81,29.69,66.51,49,0,6.58,ZW,1601606467
151,Cherskiy,68.75,161.3,37.09,74,2,2.77,RU,1601606468
152,Port-Gentil,-0.72,8.78,76.28,81,71,11.23,GA,1601606468
153,Havøysund,71.0,24.66,46.4,87,94,16.11,NO,1601606468
154,Sidi Ali,36.1,0.42,67.59,52,0,16.62,DZ,1601606468
155,Road Town,18.42,-64.62,82.0,88,100,11.99,VG,1601606468
156,Dikson,73.51,80.55,34.61,85,100,18.54,RU,1601606468
157,Bambous Virieux,-20.34,57.76,69.01,93,20,8.05,MU,1601606469
158,San Patricio,19.22,-104.7,79.74,85,0,5.53,MX,1601606469
159,Nuuk,64.18,-51.72,44.6,93,100,19.46,GL,1601606470
160,Karratha,-20.74,116.85,91.0,21,48,12.75,AU,1601606286
161,Pahrump,36.21,-115.98,86.0,3,1,8.05,US,1601606470
162,Krasnosel'kup,65.7,82.47,43.2,88,100,12.26,RU,1601606470
163,Miran Shah,33.01,70.07,75.29,17,0,7.94,PK,1601606470
164,Ibaté,-21.95,-48.0,81.1,38,79,7.02,BR,1601606470
165,Beyneu,45.32,55.2,51.21,42,0,10.71,KZ,1601606467
166,Ilo,-17.64,-71.34,60.1,78,82,4.29,PE,1601606471
167,Kasane,-17.82,25.15,72.97,43,62,5.08,BW,1601606471
168,Sakaiminato,35.55,133.23,75.2,60,40,5.82,JP,1601606471
169,Ternate,0.8,127.4,84.79,71,100,6.15,ID,1601606472
170,Namtsy,62.72,129.67,37.4,51,0,4.47,RU,1601606472
171,Pundaguitan,6.37,126.17,84.13,73,98,5.86,PH,1601606472
172,São João da Barra,-21.64,-41.05,74.43,84,10,19.55,BR,1601606472
173,Nizhniy Kuranakh,58.84,125.49,39.43,74,99,5.97,RU,1601606473
174,Severo-Kuril'sk,50.68,156.12,50.94,76,100,6.87,RU,1601606473
175,Nara,34.69,135.8,84.0,47,20,4.7,JP,1601606473
176,Longyearbyen,78.22,15.64,32.43,94,100,1.86,SJ,1601606474
177,Khovd,48.01,91.64,34.0,76,68,9.42,MN,1601606474
178,Hofn,64.25,-15.21,44.08,57,60,3.38,IS,1601606474
179,Kuusamo,65.97,29.18,46.4,93,90,1.12,FI,1601606474
180,Kavieng,-2.57,150.8,82.13,78,100,13.04,PG,1601606474
181,Yinchuan,38.47,106.27,58.57,31,15,3.94,CN,1601606343
182,Plaster Rock,46.91,-67.39,55.4,76,90,3.02,CA,1601606475
183,Guerrero Negro,27.98,-114.06,79.54,51,0,11.32,MX,1601606475
184,Quelimane,-17.88,36.89,73.4,73,4,3.36,MZ,1601606475
185,Saint-Pierre,-21.34,55.48,69.8,64,0,4.7,RE,1601606475
186,Linxia Chengguanzhen,35.6,103.21,53.44,53,96,4.18,CN,1601606476
187,Ciudad Bolivar,8.12,-63.55,79.59,82,99,9.71,VE,1601606476
188,Pasni,25.26,63.47,86.16,37,0,9.73,PK,1601606476
189,Maceió,-9.67,-35.74,73.4,88,75,3.36,BR,1601606459
190,North Battleford,52.78,-108.28,46.4,54,90,12.75,CA,1601606477
191,Jumla,29.27,82.18,67.6,41,0,1.1,NP,1601606477
192,San Matías,-16.37,-58.4,84.96,24,78,3.89,BO,1601606477
193,‘Āhuimanu,21.44,-157.84,86.0,66,20,11.41,US,1601606478
194,Iqaluit,63.75,-68.51,26.6,79,75,2.24,CA,1601606356
195,Necochea,-38.55,-58.74,46.0,75,1,5.99,AR,1601606478
196,Pareora,-44.49,171.21,64.99,25,7,7.0,NZ,1601606478
197,Nome,64.5,-165.41,48.99,81,90,14.99,US,1601606478
198,Makakilo City,21.35,-158.09,86.0,58,75,9.17,US,1601606208
199,Aripuanã,-9.17,-60.63,73.04,86,94,3.6,BR,1601606479
200,Quincy,42.25,-71.0,64.4,82,1,10.29,US,1601606320
201,Amahai,-3.33,128.92,82.74,73,39,13.42,ID,1601606479
202,Port Elizabeth,-33.92,25.57,59.0,58,90,21.92,ZA,1601606479
203,Bethel,41.37,-73.41,60.8,63,75,4.65,US,1601606479
204,Sechura,-5.56,-80.82,63.63,82,19,9.75,PE,1601606480
205,Northam,51.03,-4.22,50.0,95,97,1.01,GB,1601606480
206,Havelock,34.88,-76.9,71.01,82,1,4.7,US,1601606480
207,Nelson Bay,-32.72,152.15,77.0,23,0,10.29,AU,1601606480
208,Ahipara,-35.17,173.17,61.61,58,96,5.93,NZ,1601606480
209,Bluff,-46.6,168.33,57.0,59,100,7.0,NZ,1601606481
210,Buraidah,26.33,43.98,71.6,37,0,4.7,SA,1601606348
211,Regina,50.45,-104.62,46.99,52,75,9.17,CA,1601606294
212,Beberibe,-4.18,-38.13,80.6,78,75,14.99,BR,1601606481
213,Nokaneng,-19.67,22.27,69.66,50,0,5.75,BW,1601606481
214,Morant Bay,17.88,-76.41,80.6,83,75,16.11,JM,1601606481
215,Isangel,-19.55,169.27,77.0,78,90,11.41,VU,1601606482
216,La Rioja,42.25,-2.5,66.2,52,100,20.8,ES,1601606482
217,Nikol'sk,53.72,46.07,46.76,73,11,4.27,RU,1601606482
218,Mount Isa,-20.73,139.5,93.2,21,0,12.75,AU,1601606219
219,Buritis,-15.62,-46.42,74.34,31,29,1.45,BR,1601606482
220,Salalah,17.02,54.09,75.2,83,20,4.7,OM,1601606483
221,Licata,37.11,13.95,66.2,93,14,4.7,IT,1601606483
222,Comodoro Rivadavia,-45.87,-67.5,37.4,59,40,11.41,AR,1601606483
223,Marondera,-18.19,31.55,59.9,57,0,6.13,ZW,1601606483
224,Araouane,18.9,-3.53,93.4,26,0,8.3,ML,1601606484
225,The Valley,18.22,-63.06,84.2,79,40,12.75,AI,1601606463
226,Samandağ,36.08,35.98,64.4,88,40,5.82,TR,1601606484
227,Mujiayingzi,42.12,118.78,54.39,41,0,13.76,CN,1601606484
228,Manzhouli,49.6,117.43,45.27,73,100,9.4,CN,1601606484
229,Vostok,46.49,135.88,54.25,53,98,3.98,RU,1601606485
230,Kalianget,-7.05,113.93,87.12,57,11,10.18,ID,1601606485
231,Kiryat Gat,31.61,34.76,73.99,73,40,3.36,IL,1601606485
232,Ballina,-28.87,153.57,78.8,73,40,13.87,AU,1601606485
233,Sinnamary,5.38,-52.95,79.32,82,6,6.24,GF,1601606486
234,Mpongwe,-13.51,28.16,61.23,56,0,4.9,ZM,1601606486
235,Dingle,11.0,122.67,86.23,75,47,6.44,PH,1601606486
236,Kandrian,-6.22,149.55,77.29,92,100,10.36,PG,1601606487
237,Ambovombe,-25.17,46.08,65.37,94,39,3.67,MG,1601606487
238,Muli,2.92,73.57,82.15,77,100,9.15,MV,1601606487
239,Upernavik,72.79,-56.15,21.96,91,0,17.54,GL,1601606488
240,Kirya,-3.92,37.48,70.68,80,92,8.28,TZ,1601606488
241,Santa Rosa,14.31,121.11,87.8,79,75,5.82,PH,1601606400
242,Clyde River,70.47,-68.59,30.2,92,90,20.8,CA,1601606488
243,Billings Metropolitan Area,45.78,-108.5,60.8,31,90,3.36,US,1601606488
